=== ALL 528 songs without artist ===
1. ดีใจรึเปล่า | singer: ชาย
2. ชีวิตเมียเช่า | singer: หญิง
3. Good times | singer: หญิง
4. San Francisco street | singer: ชาย
5. The Young Ones | singer: ชาย
6. พูดไม่คิด | singer: ชาย
7. อาจจะเป็นคนนี้ | singer: หญิง
8. Drunk text | singer: ชาย
9. หมดห่วง | singer: หญิง
10. ใจเหลือๆ | singer: หญิง
11. เล่าสู่กันฟัง | singer: ชาย
12. เหงาๆ | singer: หญิง
13. ฉันเลว | singer: หญิง
14. Ticktock | singer: หญิง
15. ไม่สมศักดิ์ศรี | singer: ชาย
16. พี่ชอบหนูที่สุดเลย | singer: ชาย
17. Don't it make my brown | singer: หญิง
18. ยายแล่ม | singer: หญิง
19. แอบเหงา | singer: ชาย
20. ไหง่ง่อง | singer: หญิง
21. ส่วนต่าง | singer: หญิง
22. เสียใจได้ยินไหม | singer: หญิง
23. Stand by me | singer: หญิง
24. เสียงของหัวใจ | singer: หญิง
25. เฮอไมโอน้อง | singer: หญิง
26. Play girl | singer: หญิง
27. ซ่อนกลิ่น | singer: หญิง
28. สองรัก | singer: ชาย
29. โกหกหน้าตาย | singer: หญิง
30. วาดไว้ | singer: หญิง
31. คลื่น | singer: หญิง
32. สลักจิต | singer: หญิง
33. ปู | singer: หญิง
34. Can take my eye | singer: หญิง
35. คืนให้ | singer: หญิง
36. ตั้งใจมาหลอก | singer: ชาย
37. เขียนไว้ข้างเตียง นันทิดา | singer: หญิง
38. หยุดตรงนี้ที่เธอ | singer: ชาย
39. เปลี่ยน | singer: ชาย
40. ถามเพื่ออะไร | singer: หญิง
41. รักสามเศร้า | singer: หญิง
42. ข้าน้อยสมควรตาย | singer: ชาย
43. สายตาหลอกกันไม่ได้ | singer: หญิง
44. ทำอะไรสักอย่าง | singer: ชาย
45. ABCDEFU | singer: หญิง
46. กอดเสาเถียง | singer: หญิง
47. ไม่บอกเธอ | singer: หญิง
48. Without you | singer: หญิง
49. ไม่รักดี | singer: ชาย/หญิง
50. สิ่งมีชีวิตที่เรียกว่าหัวใจ | singer: ชาย
51. ใจรัก | singer: หญิง
52. ซินเดอเรลล่า | singer: ชาย
53. สนิทใจ | singer: หญิง
54. แพ้ใจ | singer: หญิง
55. น้ำผึ้งหรือยาพิษ | singer: หญิง
56. คนมีเสน่ห์ | singer: หญิง
57. like i'm gonna lose you | singer: หญิง
58. เอาปากกามาวง | singer: หญิง
59. Ode to my family  | singer: หญิง
60. โลกที่แบกไว้ | singer: ชาย
61. You're Beautiful | singer: ชาย
62. หนุ่มบาวสาวปาน | singer: ชาย/หญิง
63. Messy | singer: หญิง
64. อย่าทำอย่างนี้ไม่ว่ากับใคร | singer: หญิง
65. ฉันคือดวงจันทร์ | singer: หญิง
66. ผิดไหม | singer: หญิง
67. โกหก | singer: ชาย
68. Cinderella | singer: ชาย
69. วีนัส | singer: ชาย
70. ขอวอน2 | singer: หญิง
71. มากกว่ารัก | singer: หญิง
72. ข้ามันลูกทุ่ง | singer: หญิง
73. I don't want to talk about it | singer: ชาย
74. have i told you lately | singer: ชาย
75. Too sweet | singer: ชาย
76. เลี้ยงส่ง | singer: ชาย
77. ความรู้สึกของวันนี้ | singer: ชาย
78. เกิดมาแค่รักกัน | singer: ชาย
79. ไว้ใจได้กา | singer: หญิง
80. ฉันไม่ใช่นางเอก | singer: หญิง
81. ใจเหลือๆ | singer: ชาย
82. ซ่าอมรมณ์ | singer: หญิง
83. รักเกินร้อย | singer: หญิง
84. ไม่เคย | singer: ชาย/หญิง
85. ยินดีที่ไม่รู้จัก | singer: ชาย/หญิง
86. ว่าว | singer: หญิง
87. She's the one | singer: ชาย
88. How Deep Is Your Love | singer: ชาย
89. ฝากให้เขารัก | singer: ชาย
90. ไม่อาจเปลี่ยนใจ | singer: หญิง
91. ก้อนหินละเมอ | singer: ชาย
92. ไม่ให้ไป | singer: ชาย
93. หวานใจผมน่ารักกว่าใคร | singer: หญิง
94. April | singer: ชาย
95. L.o.v.e | singer: หญิง
96. หัวใจฮอมปอย | singer: หญิง
97. Kimiga ireba sorede ii | singer: หญิง
98. อาวรณ์ | singer: หญิง
99. เทียนหมีหมี่ | singer: หญิง
100. ที่รักเธอ | singer: หญิง
101. ฉันจึงวนกลับมา | singer: หญิง
102. กระแซะ | singer: หญิง
103. at my worst | singer: ชาย
104. ใจกลางความรู้สึกดีๆ | singer: ชาย
105. แก้บน | singer: หญิง
106. กุหลาบ | singer: ชาย/หญิง
107. สักวันฉันจะดีพอ | singer: ชาย
108. จากนี้ไปจนนิรันดร์ | singer: ชาย
109. เกี่ยวกันไหม | singer: หญิง
110. กลับมาเพื่อบอกลา | singer: ชาย
111. ดอกกระเจียวบาน | singer: หญิง
112. แฟนเก่า | singer: ชาย
113. นิดนึง | singer: หญิง
114. ยังคงคอย | singer: ชาย
115. เหมือนวิวาห์ | singer: ชาย
116. นิทาน | singer: ชาย
117. ตาสว่าง | singer: ชาย
118. นานๆนะๆ | singer: หญิง
119. ขอจองได้ไหม | singer: หญิง
120. ใจเป็นนาย กายเป็นบ่าว | singer: ชาย
121. จะรักหรือจะร้าย | singer: หญิง
122. รักเธอไม���มีวันหยุด | singer: หญิง
123. I just wanna pen fan you dai bor | singer: หญิง
124. Timemachine | singer: ชาย
125. More Than I Can Say | singer: ชาย
126. ทำไมเป็นคนแบบนี้ | singer: หญิง
127. คนทางนั้น | singer: ชาย
128. Until you | singer: ชาย
129. แม่มด | singer: หญิง
130. ผ่าน | singer: ชาย
131. คิดมาก | singer: หญิง
132. ภาพลวงตา | singer: หญิง
133. โลกทั้งใบให้นายคนเดียว | singer: ชาย
134. ไร่อ้อยคอยรัก | singer: ชาย
135. จังหวะตกหลุมรัก | singer: หญิง
136. Moonlit Floor | singer: หญิง
137. โอ้ยๆ | singer: ชาย
138. คุกเข่า | singer: ชาย
139. Proud mary | singer: หญิง
140. หลอก | singer: ชาย
141. Zombie | singer: หญิง
142. สาวเลยยังรอ | singer: หญิง
143. เจ้าหญิง ฟาเรนไฮต์ | singer: หญิง
144. รักไม่ได้ | singer: หญิง
145. ช่างมัน | singer: ชาย
146. Senorita | singer: หญิง
147. Don't know why | singer: หญิง
148. ขาดความอบอุ่น | singer: ชาย
149. Die with smaile | singer: ชาย/หญิง
150. ผ้าเช็ดหน้า | singer: หญิง
151. ความเจ็บปวด | singer: หญิง
152. จิ๊จ๊ะ | singer: ชาย
153. ห้องสี่มุมซ้าย | singer: หญิง
154. Event | singer: ชาย
155. รw8 โบกี้ | singer: หญิง
156. สิ่งสำคัญ | singer: หญิง
157. ไม่บอกเธอ | singer: ชาย
158. Play that funky music | singer: ชาย
159. Leave the door open | singer: ชาย
160. Back to December | singer: หญิง
161. Love พาราด็อก | singer: ชาย
162. ชอบป่ะเนี้ย | singer: หญิง
163. เปิดใจสาวแต | singer: หญิง
164. Superman | singer: ชาย
165. Yellow  | singer: ชาย
166. ตีหนึ่งที่คูเมือง | singer: ชาย
167. ผู้หญิงลืมยาก | singer: หญิง
168. ผู้ชายห่วยๆ | singer: หญิง
169. Ley me down | singer: ชาย
170. รถไฟบนฟ้า | singer: ชาย
171. แรงโน้มถ่วง | singer: ชาย/หญิง
172. like i'm gonna lose you | singer: หญิง
173. until i found you | singer: ชาย
174. ต้องโทษดาว | singer: หญิง
175. จีนี่จ๋า | singer: หญิง
176. my daisy | singer: หญิง
177. Batter man | singer: ชาย
178. Bad Time | singer: ชาย
179. Dancing | singer: ชาย
180. จันทร์ | singer: หญิง
181. I swear | singer: ชาย
182. รักไม่ได้ | singer: ชาย
183. สบายดีหรือเปล่า | singer: หญิง
184. Just the way you are  | singer: ชาย
185. Handyman | singer: ชาย
186. อยากเจอ | singer: ชาย
187. ขอให้เหมือนเดิม | singer: หญิง
188. Love You I Do | singer: หญิง
189. ฝากเลี้ยง | singer: ชาย
190. เพลงลูกกรุง | singer: ชาย
191. วัดใจ | singer: ชาย
192. If i ain't got you | singer: หญิง
193. แค่คนคุย | singer: หญิง
194. Take me to your heart | singer: ชาย
195. ทางของฝุ่น | singer: ชาย
196. เพื่อนสนิท | singer: หญิง
197. เป็นทุกอย่าง | singer: ชาย
198. ไม่รู้จักฉันไม่รู้จักเธอ | singer: หญิง
199. My love | singer: ชาย
200. gravity | singer: ชาย
201. สุดแต่ใจจะไขว่คว้า | singer: ชาย
202. ติดฝน | singer: หญิง
203. Pretty boy | singer: หญิง
204. Rude | singer: ชาย
205. you're ever | singer: ชาย
206. เอิ้นอ้ายแหน่เด้อ ยามเธอมีแฮง | singer: หญิง
207. ได้ยินไหม | singer: หญิง
208. เต่างอย | singer: หญิง
209. เช้าไม่กลัว | singer: ชาย
210. โกหกหน้าตาย | singer: ชาย
211. North Star | singer: ชาย
212. อยู่ต่อเลยได้ไหม | singer: หญิง
213. อยากเก็บเธอไว้ทั้งสองคน | singer: หญิง
214. yesterday | singer: ชาย
215. ก่อน | singer: ชาย
216. เหตุเกิดจากความเหงา | singer: ชาย
217. แอบเก็บความในใจไว้ภายในแว่นเรแบนสีดำ | singer: ชาย
218. แค่มีเธอไปเดินเตะคลื่นทะเลด้วยกัน | singer: ชาย
219. Venus | singer: ชาย
220. รักมือสอง | singer: หญิง
221. ใจฉันตามเธอไป | singer: ชาย
222. Move on | singer: ชาย/หญิง
223. Miss call | singer: หญิง
224. Yesterday once more | singer: ชาย/หญิง
225. รักคนมีเจ้าของ | singer: ชาย
226. at my worst | singer: หญิง
227. เพียงพอ | singer: ชาย
228. Santeria | singer: ชาย
229. มันคือความรัก | singer: หญิง
230. Take me to your heart | singer: หญิง
231. เมื่อไหร่จะบอก | singer: หญิง
232. Woman in Love | singer: หญิง
233. Tip toe | singer: ชาย
234. ละหมาดอารมณ์ | singer: ชาย
235. ทำเป็นไม่ทัก | singer: หญิง
236. พูดลอยๆ | singer: ชาย
237. อยากให้เธอลอง | singer: ชาย
238. ซักกะนิด | singer: หญิง
239. Ooh | singer: หญิง
240. Listen | singer: หญิง
241. เมื่อไหร่จะบอก | singer: ชาย
242. คนที่ถูกรัก | singer: ชาย
243. Let it be | singer: ชาย
244. 7 years | singer: ชาย
245. เมื่อเขามาฉันจะไป | singer: หญิง
246. รสหวาน p | singer: ชาย
247. ห้ามทิ้ง | singer: หญิง
248. เบา เบา | singer: ชาย
249. เด๋อเดี่ยงด่าง | singer: หญิง
250. กระเป๋าแบนแฟนยิ้ม | singer: ชาย
251. ดีเกินไป | singer: ชาย
252. ลมหายใจ | singer: ชาย
253. I have nothing | singer: หญิง
254. บรรยากาศ | singer: ชาย
255. ไม่อาจเปลี่ยนใจ | singer: ชาย
256. เกาะร้างห่างรัก | singer: ชาย
257. stuck on you | singer: ชาย
258. Still Loving you | singer: ชาย
259. ขอวอน2 | singer: ชาย
260. The Lazy song | singer: ชาย
261. พบรัก | singer: หญิง
262. Lady marmalade | singer: หญิง
263. คาใจ | singer: ชาย
264. คนมีเสน่ห์ | singer: ชาย
265. สักวันฉันจะหายดี | singer: หญิง
266. One call away | singer: หญิง
267. รักไปแล้ว | singer: ชาย
268. Don't look back in anger | singer: ชาย
269. Enchanted | singer: หญิง
270. ช่วยไม่ได้ Urboy tj | singer: ชาย
271. พลิกล็อค | singer: หญิง
272. เรามีเรา | singer: หญิง
273. อย่าปล่อยมือ | singer: หญิง
274. Style | singer: หญิง
275. จูบ Jets | singer: ชาย
276. Habits | singer: หญิง
277. คำเชยๆ | singer: หญิง
278. ทักครับ | singer: หญิง
279. เกาะสมุย | singer: ชาย
280. Valerie | singer: หญิง
281. ความรักทำให้คนตาบอด | singer: ชาย
282. รักแรกพบ | singer: ชาย
283. Whats up | singer: หญิง
284. Before I fall in love | singer: หญิง
285. เคลิ้ม | singer: ชาย
286. Hero | singer: หญิง
287. ลืมไปก่อน | singer: ชาย
288. คิดถึงจังมาหาหน่อย | singer: ชาย
289. เรื่องจริง | singer: ชาย
290. คืนเหงา | singer: หญิง
291. Eternal flame | singer: หญิง
292. สลักจิต | singer: ชาย/หญิง
293. ไวน์ | singer: ชาย
294. เก็บซ่อน | singer: หญิง
295. ซาโยนาระ | singer: ชาย
296. กลิ่นดอกไม้ | singer: ชาย
297. สุดฤทธิ์สุดเดช | singer: หญิง
298. ใจสมใจ | singer: หญิง
299. รอเป็นคนถัดไป | singer: หญิง
300. อย่าพูดเลย | singer: ชาย
301. ขี้หึง | singer: หญิง
302. just the two of us | singer: ชาย
303. ช้ำคือเรา | singer: หญิง
304. ผิดตั้งแต่เริ่ม | singer: ชาย
305. สาวน้อยกลับบ้าน | singer: หญิง
306. ลบไม่ได้ช่วยให้ลืม | singer: หญิง
307. ที่คั่นหนังสือ | singer: ชาย/หญิง
308. คำยินดี | singer: หญิง
309. ถ้าคิดถึงเธอมากกว่านี้ | singer: หญิง
310. ตายทั้งเป็น | singer: หญิง
311. Careless whisper | singer: ชาย
312. เส้นบางๆ | singer: หญิง
313. crazy in love | singer: หญิง
314. ไหนว่าจะไม่หลอกกัน | singer: หญิง
315. ทักครับ | singer: หญิง
